id,anchor,positive,negative
1,1_01.mp4,1_02.mp4,12_13.mp4
1,1_01.mp4,1_03.mp4,8_20.mp4
1,1_01.mp4,1_04.mp4,13_12.mp4
1,1_01.mp4,1_05.mp4,10_20.mp4
1,1_01.mp4,1_06.mp4,6_01.mp4
1,1_01.mp4,1_07.mp4,9_14.mp4
1,1_01.mp4,1_08.mp4,14_07.mp4
1,1_01.mp4,1_09.mp4,6_16.mp4
1,1_01.mp4,1_10.mp4,3_03.mp4
1,1_01.mp4,1_11.mp4,12_17.mp4
1,1_01.mp4,1_12.mp4,8_18.mp4
1,1_01.mp4,1_13.mp4,13_06.mp4
1,1_01.mp4,1_14.mp4,13_17.mp4
1,1_01.mp4,1_15.mp4,7_19.mp4
1,1_01.mp4,1_16.mp4,5_11.mp4
1,1_01.mp4,1_17.mp4,1_17.mp4
1,1_01.mp4,1_18.mp4,12_02.mp4
1,1_01.mp4,1_19.mp4,5_13.mp4
1,1_01.mp4,1_20.mp4,1_19.mp4
1,1_02.mp4,1_03.mp4,7_11.mp4
1,1_02.mp4,1_04.mp4,14_05.mp4
1,1_02.mp4,1_05.mp4,10_17.mp4
1,1_02.mp4,1_06.mp4,8_19.mp4
1,1_02.mp4,1_07.mp4,11_18.mp4
1,1_02.mp4,1_08.mp4,6_14.mp4
1,1_02.mp4,1_09.mp4,11_20.mp4
1,1_02.mp4,1_10.mp4,14_13.mp4
1,1_02.mp4,1_11.mp4,3_12.mp4
1,1_02.mp4,1_12.mp4,13_11.mp4
1,1_02.mp4,1_13.mp4,12_10.mp4
1,1_02.mp4,1_14.mp4,12_19.mp4
1,1_02.mp4,1_15.mp4,11_06.mp4
1,1_02.mp4,1_16.mp4,7_12.mp4
1,1_02.mp4,1_17.mp4,6_12.mp4
1,1_02.mp4,1_18.mp4,6_04.mp4
1,1_02.mp4,1_19.mp4,7_12.mp4
1,1_02.mp4,1_20.mp4,13_03.mp4
1,1_03.mp4,1_04.mp4,8_04.mp4
1,1_03.mp4,1_05.mp4,4_05.mp4
1,1_03.mp4,1_06.mp4,13_02.mp4
1,1_03.mp4,1_07.mp4,8_18.mp4
1,1_03.mp4,1_08.mp4,12_02.mp4
1,1_03.mp4,1_09.mp4,9_19.mp4
1,1_03.mp4,1_10.mp4,13_08.mp4
1,1_03.mp4,1_11.mp4,1_06.mp4
1,1_03.mp4,1_12.mp4,4_17.mp4
1,1_03.mp4,1_13.mp4,12_18.mp4
1,1_03.mp4,1_14.mp4,11_10.mp4
1,1_03.mp4,1_15.mp4,13_03.mp4
1,1_03.mp4,1_16.mp4,13_12.mp4
1,1_03.mp4,1_17.mp4,14_07.mp4
1,1_03.mp4,1_18.mp4,1_05.mp4
1,1_03.mp4,1_19.mp4,5_20.mp4
1,1_03.mp4,1_20.mp4,13_09.mp4
1,1_04.mp4,1_05.mp4,6_16.mp4
1,1_04.mp4,1_06.mp4,10_17.mp4
1,1_04.mp4,1_07.mp4,4_03.mp4
1,1_04.mp4,1_08.mp4,8_04.mp4
1,1_04.mp4,1_09.mp4,5_02.mp4
1,1_04.mp4,1_10.mp4,10_08.mp4
1,1_04.mp4,1_11.mp4,1_03.mp4
1,1_04.mp4,1_12.mp4,3_05.mp4
1,1_04.mp4,1_13.mp4,11_04.mp4
1,1_04.mp4,1_14.mp4,11_20.mp4
1,1_04.mp4,1_15.mp4,3_13.mp4
1,1_04.mp4,1_16.mp4,15_05.mp4
1,1_04.mp4,1_17.mp4,10_18.mp4
1,1_04.mp4,1_18.mp4,2_03.mp4
1,1_04.mp4,1_19.mp4,3_05.mp4
1,1_04.mp4,1_20.mp4,9_17.mp4
1,1_05.mp4,1_06.mp4,15_03.mp4
1,1_05.mp4,1_07.mp4,14_19.mp4
1,1_05.mp4,1_08.mp4,9_15.mp4
1,1_05.mp4,1_09.mp4,11_10.mp4
1,1_05.mp4,1_10.mp4,14_13.mp4
1,1_05.mp4,1_11.mp4,14_13.mp4
1,1_05.mp4,1_12.mp4,5_12.mp4
